SubjectIdNumber,trial number,c,Configuration_File_Status,Status,researcher,ResponseTimesButtonP1,ResponseTimesButtonP2,ResponseTimesButtonP3
1,1,1,0,Paradigm Run: Executed Status 0,Dana,339.448829435016,339.448829435016,NA
1,2,1,0,Paradigm Run: Executed Status 0,Dana,180.71630586886,180.71630586886,NA
1,3,1,0,Paradigm Run: Executed Status 0,Dana,1175.10575476688,1175.10575476688,NA
1,4,1,0,Paradigm Run: Executed Status 0,Dana,319.350126843733,319.350126843733,NA
1,5,1,0,Paradigm Run: Executed Status 0,Dana,243.909427234148,243.909427234148,NA
1,6,1,0,Paradigm Run: Executed Status 0,Dana,187.938496751222,187.938496751222,NA
1,7,1,0,Paradigm Run: Executed Status 0,Dana,291.191519399434,291.191519399434,NA
1,8,1,0,Paradigm Run: Executed Status 0,Dana,302.267680030148,302.267680030148,NA
1,9,1,0,Paradigm Run: Executed Status 0,Dana,325.190324651948,325.190324651948,NA
1,10,1,0,Paradigm Run: Executed Status 0,Dana,307.582753969842,307.582753969842,NA
1,11,1,0,Paradigm Run: Executed Status 0,Dana,370.911430238659,370.911430238659,NA
1,12,1,0,Paradigm Run: Executed Status 0,Dana,340.763988179616,340.763988179616,NA
1,13,1,0,Paradigm Run: Executed Status 0,Dana,266.84348283055,266.84348283055,NA
1,14,1,0,Paradigm Run: Executed Status 0,Dana,521.86149195481,521.86149195481,NA
1,15,1,0,Paradigm Run: Executed Status 0,Dana,742.439274276621,742.439274276621,NA
1,16,1,0,Paradigm Run: Executed Status 0,Dana,366.929799578392,366.929799578392,NA
1,17,1,0,Paradigm Run: Executed Status 0,Dana,534.289508555104,534.289508555104,NA
1,18,1,0,Paradigm Run: Executed Status 0,Dana,599.549847562334,599.549847562334,NA
1,19,1,0,Paradigm Run: Executed Status 0,Dana,128.624001464378,128.624001464378,NA
1,20,1,0,Paradigm Run: Executed Status 0,Dana,410.689537987546,410.689537987546,NA
1,21,1,0,Paradigm Run: Executed Status 0,Dana,428.215769595897,428.215769595897,NA
1,22,1,0,Paradigm Run: Executed Status 0,Dana,414.091337020848,414.091337020848,NA
1,23,1,0,Paradigm Run: Executed Status 0,Dana,387.230501425562,387.230501425562,NA
1,24,1,0,Paradigm Run: Executed Status 0,Dana,367.725889388697,367.725889388697,NA
1,25,1,0,Paradigm Run: Executed Status 0,Dana,362.376263906991,362.376263906991,NA
1,26,1,0,Paradigm Run: Executed Status 0,Dana,1394.92206075518,1394.92206075518,NA
1,27,1,0,Paradigm Run: Executed Status 0,Dana,227.42643020841,227.42643020841,NA
1,28,1,0,Paradigm Run: Executed Status 0,Dana,428.032070219429,428.032070219429,NA
1,29,1,0,Paradigm Run: Executed Status 0,Dana,769.710281742782,769.710281742782,NA
1,30,1,0,Paradigm Run: Executed Status 0,Dana,145.583031592928,145.583031592928,NA
1,31,1,0,Paradigm Run: Executed Status 0,Dana,544.579665260829,544.579665260829,NA
1,32,1,0,Paradigm Run: Executed Status 0,Dana,553.859853649167,553.859853649167,NA
1,33,1,0,Paradigm Run: Executed Status 0,Dana,211.537619120947,211.537619120947,NA
1,34,1,0,Paradigm Run: Executed Status 0,Dana,963.347399708847,963.347399708847,NA
1,35,1,0,Paradigm Run: Executed Status 0,Dana,430.717679843512,430.717679843512,NA
1,36,1,0,Paradigm Run: Executed Status 0,Dana,384.002979516571,384.002979516571,NA
1,37,1,0,Paradigm Run: Executed Status 0,Dana,592.358905595067,592.358905595067,NA
1,38,1,0,Paradigm Run: Executed Status 0,Dana,341.92001685496,341.92001685496,NA
1,39,1,0,Paradigm Run: Executed Status 0,Dana,380.129974733199,380.129974733199,NA
1,40,1,0,Paradigm Run: Executed Status 0,Dana,506.148717067135,506.148717067135,NA
1,41,1,0,Paradigm Run: Executed Status 0,Dana,158.627351426715,158.627351426715,NA
1,42,1,0,Paradigm Run: Executed Status 0,Dana,615.311788556808,615.311788556808,NA
1,43,1,0,Paradigm Run: Executed Status 0,Dana,241.732172929626,241.732172929626,NA
1,44,1,0,Paradigm Run: Executed Status 0,Dana,321.069599258107,321.069599258107,NA
1,45,1,0,Paradigm Run: Executed Status 0,Dana,269.168762691566,269.168762691566,NA
1,46,1,0,Paradigm Run: Executed Status 0,Dana,719.017799897701,719.017799897701,NA
1,47,1,0,Paradigm Run: Executed Status 0,Dana,392.899332203783,392.899332203783,NA
1,48,1,0,Paradigm Run: Executed Status 0,Dana,257.814271380316,257.814271380316,NA
1,49,1,0,Paradigm Run: Executed Status 0,Dana,564.435828626937,564.435828626937,NA
1,50,1,0,Paradigm Run: Executed Status 0,Dana,305.237521891384,305.237521891384,NA
1,51,1,0,Paradigm Run: Executed Status 0,Dana,567.390407647867,567.390407647867,NA
1,52,1,0,Paradigm Run: Executed Status 0,Dana,588.328037411622,588.328037411622,NA
1,53,1,0,Paradigm Run: Executed Status 0,Dana,298.212716118083,298.212716118083,NA
1,54,1,0,Paradigm Run: Executed Status 0,Dana,549.722745998246,549.722745998246,NA
1,55,1,0,Paradigm Run: Executed Status 0,Dana,196.645666150847,196.645666150847,NA
1,56,1,0,Paradigm Run: Executed Status 0,Dana,410.699890066307,410.699890066307,NA
1,57,1,0,Paradigm Run: Executed Status 0,Dana,317.378217406833,317.378217406833,NA
1,58,1,0,Paradigm Run: Executed Status 0,Dana,904.940481691326,904.940481691326,NA
1,59,1,0,Paradigm Run: Executed Status 0,Dana,425.851557220861,425.851557220861,NA
1,60,1,0,Paradigm Run: Executed Status 0,Dana,326.663176246842,326.663176246842,NA
1,1,2,0,Paradigm Run: Executed Status 0,Dana,344.976901928287,344.976901928287,NA
1,2,2,0,Paradigm Run: Executed Status 0,Dana,271.513938933703,271.513938933703,NA
1,3,2,0,Paradigm Run: Executed Status 0,Dana,436.70413974997,436.70413974997,NA
1,4,2,0,Paradigm Run: Executed Status 0,Dana,455.149090559315,455.149090559315,NA
